FIPS,County name,Medicare enrollees (2010),Total Medicare reimbursements per enrollee (Parts A and B) (2010) ASRA,Total Medicare reimbursements per enrollee (Parts A and B) (2010) PASRA,Hospital & skilled nursing facility reimbursements per enrollee (2010) ASRA,Hospital & skilled nursing facility reimbursements per enrollee (2010) PASRA,Physician reimbursements per enrollee (2010) ASRA,Physician reimbursements per enrollee (2010) PASRA,Outpatient facility reimbursements per enrollee (2010) ASRA,Outpatient facility reimbursements per enrollee (2010) PASRA,Home health agency reimbursements per enrollee (2010) ASRA,Home health agency reimbursements per enrollee (2010) PASRA,Hospice reimbursements per enrollee (2010) ASRA,Hospice reimbursements per enrollee (2010) PASRA,Durable medical equipment reimbursements per enrollee (2010) ASRA,Durable medical equipment reimbursements per enrollee (2010) PASRA
40001,OK-Adair County,"2,378 ","9,757 ","11,132 ","4,677 ","5,623 ","2,178 ","2,293 ",884 ,968 ,"1,280 ","1,397 ",567 ,672 ,298 ,301 
40003,OK-Alfalfa County,"1,055 ","8,372 ","9,291 ","3,920 ","4,457 ","2,185 ","2,322 ","1,171 ","1,302 ",554 ,616 ,,,312 ,315 
40005,OK-Atoka County,"1,977 ","11,427 ","12,689 ","4,552 ","5,175 ","2,254 ","2,374 ","1,190 ","1,320 ","3,225 ","3,603 ",,,295 ,305 
40007,OK-Beaver County,715 ,"9,212 ","9,681 ","5,190 ","5,420 ","1,965 ","2,039 ","1,408 ","1,544 ",,,,,346 ,349 
40009,OK-Beckham County,"2,527 ","9,461 ","10,617 ","4,466 ","5,192 ","1,987 ","2,098 ","1,131 ","1,245 ","1,215 ","1,340 ",360 ,446 ,361 ,365 
40011,OK-Blaine County,"1,341 ","9,240 ","10,359 ","4,343 ","5,050 ","1,746 ","1,809 ","1,464 ","1,625 ","1,033 ","1,153 ",,,322 ,324 
40013,OK-Bryan County,"5,068 ","12,418 ","13,656 ","6,194 ","6,828 ","2,700 ","2,920 ",944 ,"1,035 ","2,128 ","2,375 ",281 ,340 ,321 ,323 
40015,OK-Caddo County,"4,311 ","9,499 ","10,462 ","4,146 ","4,691 ","1,909 ","2,006 ","1,057 ","1,145 ","1,707 ","1,843 ",468 ,567 ,300 ,303 
40017,OK-Canadian County,"8,540 ","9,319 ","10,118 ","4,147 ","4,623 ","2,210 ","2,347 ",938 ,988 ,"1,082 ","1,144 ",711 ,800 ,318 ,319 
40019,OK-Carter County,"6,324 ","9,874 ","11,119 ","4,273 ","4,951 ","2,073 ","2,230 ","1,003 ","1,111 ","1,670 ","1,855 ",658 ,784 ,302 ,307 
40021,OK-Cherokee County,"4,579 ","8,857 ","9,991 ","3,827 ","4,477 ","1,892 ","2,021 ",912 ,"1,005 ","1,508 ","1,630 ",601 ,737 ,260 ,261 
40023,OK-Choctaw County,"2,388 ","13,493 ","15,184 ","6,039 ","7,050 ","2,461 ","2,511 ","1,049 ","1,161 ","3,081 ","3,433 ",793 ,969 ,274 ,279 
40025,OK-Cimarron County,471 ,"9,272 ","10,231 ","4,253 ","4,811 ","2,166 ","2,317 ","1,870 ","2,045 ",,,,,318 ,324 
40027,OK-Cleveland County,"18,581 ","9,737 ","10,632 ","4,351 ","4,927 ","2,382 ","2,518 ",914 ,959 ,"1,332 ","1,402 ",583 ,665 ,282 ,283 
40029,OK-Coal County,867 ,"11,190 ","13,273 ","5,783 ","7,367 ","1,801 ","1,887 ","1,298 ","1,447 ","1,815 ","2,011 ",,,291 ,298 
40031,OK-Comanche County,"11,140 ","8,453 ","9,396 ","3,867 ","4,421 ","1,935 ","2,069 ","1,030 ","1,129 ",970 ,"1,058 ",372 ,447 ,301 ,304 
40033,OK-Cotton County,999 ,"8,578 ","9,539 ","3,089 ","3,507 ","1,865 ","1,986 ",886 ,963 ,"1,984 ","2,210 ",,,282 ,284 
